"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Fort Hamilton","New York","NY","New York","Kings",187,,,,,,,,,,,,,,,,,,,1575,1650,1650,1500,1477.5,1700,1700,1750,1700,1650,1450,1512.5,1650,1700,1697.5,1587.5,1537.5,1595,1650,1612.5,1599.5,1600,1700,1650,1600,1600,1595,1750,1600,1650,1650,1650,1650,1600,1650,1695,1650,1650,1600,1700,1800,1900,1895,1850,1799,1799,1825,1950,1950,1850,1850,1993
"South End","Boston","MA","Boston","Suffolk",188,,,,,,,,,,,,,,,,,2400,2400,2400,2400,2400,2400,2400,2577,2600,2600,2600,2700,2600,2600,2550,2600,2700,2750,2800,2800,2800,2800,2807,2850,2850,2862.5,2800,2850,2800,2800,2800,2740,2800,2750,2750,2800,3050,3000,3000,2900,2900,2993,3000,3000,2850,2900,2850,2975,3200,3300,3150,3097.5,2995,3000
"Downtown","Jersey City","NJ","New York","Hudson",189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2353,2150,2325,2100,2210,2300,2300,2100,2100,2037.5,2195,2300,2300,2400,2506,2300,2300,2170,2180,2331.5,2300,2200,2100,2200,2400,2450,2598,2600,2610,2620,2795,2885,2877.5,2875,2815,2752.5,2850
"Clinton","New York","NY","New York","New York",190,,,,,,,,,,,,,2850,2952.5,3000,3010,3150,3100,3160,3240,3190,3187.5,3190,3190,3200,3200,3199.5,3150,3100,3145,3050,3100,3195,3247.5,3200,3195,3200,3200,3199,3140,3100,3100,3110,3115,3200,3370,3295,3295,3275,3440,3400,3435,3405,3499,3490,3495,3395,3430,3390,3495,3395,3300,3195,3065,3060,3100,3190,3200,3250,3235
"Neartown - Montrose","Houston","TX","Houston","Harris",191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598,1455,1549,1602,1648,1653,1656,1650,1595,1529.5,1690,1665,1638.5,1617.5,1617.5,1600,1662.5,1600,1636.5,1640,1645,1500,1495,1395,1400,1407.5,1495,1630,1682,1656,1595,1589.5,1590,1481.5,1447.5
"Roxborough","Philadelphia","PA","Philadelphia","Philadelphia",192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1050,1000,1025,1050,1200,1200,1200,1200,1200,1099,1250,1250,1250,1150,1150,1150,1075,1087.5,1100,1150,1200,1274.5,1225,1100,1100,1195,1187.5
"Queen Village","Philadelphia","PA","Philadelphia","Philadelphia",193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1425,1525,1597.5,1700,1595,1450,1425,1550,1562.5,1550,1500,1595,1525,1532.5,1450,1425,1472.5,1495,1400,1395,1530
"Alexandria West","Alexandria","VA","Washington","Alexandria City",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1792.5,1762.5,1675,1775,1775,1765,1792.5,1789,1725,1750,1767.5,1720,1729.5,1765,1730,1640,1640,1680,1705,1640,1669.5,1669,1475,1490,1475,1445,1505,1561.5,1583.5,1583
"Capitol Hill","Washington","DC","Washington","District of Columbia",195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899,1986.5,2100,1950,1900,1950,1927.5,2097.5,2200,2160,2128,2200,2191,2133,2261,2265,2260,2200,2043,1937.5,2195,2295,2100,2112.5,2125,2000,2022.5,1875,1937.5,2125,2200,2325,2400
"The Lakes","Las Vegas","NV","Las Vegas","Clark",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027,989,1022,1032,1007,1006,1007,1023.5,1041,1119,1087.5,1102,1035,1105,1119,1080,1142
"Financial District","New York","NY","New York","New York",197,,,,,,3237.5,2990,3025,3025,3000,3195,3180,3200,3182.5,3150,3100,3100,3195,3200,3216,3250,3300,3325,3350,3319.5,3300,3300,3260,3256,3265,3200,3150,3150,3250,3295,3295,3325,3395,3350,3350,3300,3300,3325,3325,3295,3395,3401,3395,3437.5,3427,3395,3395,3250,3395,3587.5,3695,3500,3512.5,3595,3500,3525,3495,3479,3432.5,3435,3410.5,3429,3494.5,3479,3570
"Briarwood","New York","NY","New York","Queens",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1475,1400,1412.5,1475,1375,1375,1375,1375,1400,1400,1450,1475,1475,1487,1495,1550,1550,1595,1650,1500,1550,1500,1500,1500,1500,1575,1695,1650,1725,1700,1675,1700,1700,1700,1700,1700,1725,1750,1725
"Brighton Beach","New York","NY","New York","Kings",199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.5,1453.5,1500,1453.5,1453.5,1503.5,1450,1625,1600,1650,1650,1700,1725,1725,1725,1700,1700,1600,1600,1600,1600,1700,1712.5,1725,1725,1775,1799,1900,1995,1995,1850,1850,1895,1895,1950,1900,1950,1949.5,1900,1850,1850,1850
"Auburndale","New York","NY","New York","Queens",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1750,1750,1850,1900,2000,1950,1850,1800,1750,1725,1700,1700,1750,1700,1700,1700,1800,1850,1925,2000,1900,2050,2050,2050,1800,1800,2050,2050,2000,2000,1950,2000,1925,1800
"Flatiron District","New York","NY","New York","New York",201,,,,,,2700,3000,3072.5,3200,3220,3200,3300,3295,3295,3395,3390,3399.5,3450,3400,3400,3600,3500,3650,3650,3600,3595,3500,3495,3450,3400,3495,3400,3400,3500,3550,3600,3650,3650,3600,3595,3595,3587.5,3550,3595,3700,3875,3881,3990,4000,3950,3925,4095,4150,4180.5,4195,4300,4100,4195,4200,4290,4295,4149,3984.5,4095,4095,4097,4051,4000,4012.5,3985
"North Dorchester","Boston","MA","Boston","Suffolk",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,2000,1950,2000,2025,2100,2000,2000,2100,1997.5,1995,1950,2000,2175,2300,2300,2250,2250,2100,2050,2020,2025,2100,2300,2300,2400,2400,2500,2325,2200,2200,2200,2200,2200,2300,2500,2500,2500,2550,2600
"Pacific Beach","San Diego","CA","San Diego","San Diego",203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1525,1575,1585,1575,1595,1500,1525,1595,1675,1550,1685,1685,1600,1685,1712.5,1655,1685,1750,1700,1795,1795,1825,1995
"South Chicago","Chicago","IL","Chicago","Cook",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,800,797.5,900,950,900,850,800,750,875,810,780,800,855,860,840,810,867.5,950,1000,995,1000,1000,1000,1000,1037.5,1000,1000,1000,1012.5,1000,1000,1000,1000,1000,1000,1000,1000,1000
"Rosedale","New York","NY","New York","Queens",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,1900,2000,1900,1812.5,1812.5,2000,1900,1850,1850,1800
"College Point","New York","NY","New York","Queens",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1700,1695,1695,1745,1750,1725,1745,1712.5,1700,1725,1795,1700,1647.5,1700,1795,1800,1800,1800,1825,1700,1800,1800,1900,1850,1900,1850,1860,2000,1950,2000,2000,1900,2200
"Ravenswood","Chicago","IL","Chicago","Cook",207,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1350,1325,1325,1150,1150,1150,1150,1200,1300,1400,1325,1325,1399.5,1375,1272.5,1200,1250,1350,1250,1250,1262.5,1450,1404,1400,1295,1275,1260,1200,1295,1295,1295,1400,1450,1450,1400,1400,1395,1275,1270,1295,1325,1350,1375
"Washington Avenue Coalition - Memorial Park","Houston","TX","Houston","Harris",208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1675,1637,1660,1712,1747.5,1761,1700,1730,1940,1924,1955,1872.5,1859,1850,1847.5,1859,1773,1624,1671,1712.5,1796,1811,1765,1761.5,1754,1809,1850,1774,1805.5,1755,1819,1644.5,1595,1595,1632,1595,1602.5,1582,1595
"Landmark-Van Dom","Alexandria","VA","Washington","Alexandria City",209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612.5,1550,1500,1586.5,1620,1570,1585,1568,1568,1639,1629,1610,1629,1568,1510,1540,1568,1525,1709,1699,1689.5,1689,1655,1650,1605,1706.5,1625,1582,1729,1696,1564.5,1575,1575
"Pelham Bay","New York","NY","New York","Bronx",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1400,1350,1425,1600,1700,1650,1600,1400,1600,1500,1500,1350,1350,1400,1374,1400,1350,1350,1450,1450,1550,1500,1450,1400,1300,1350,1450,1400,1450,1500,1500,1450,1500,1500,1550,1500,1500,1500,1500
"West End","Tacoma","WA","Seattle","Pierce",211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.5,930,930,950,990,1072.5,972,968.5,960,1065,1090,1055,1075,1065,1050,1010,1002,1095,1092.5,1126,1155
"Douglaston-Little Neck","New York","NY","New York","Queens",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2200,2000,2012.5,2050,2300,2300,2150,2000,2100,2050,2100,2150,2150,2000,2000,2000,1937.5,1925,2000,2175,2200,2200,2200,2300,2150,2100,2100,2100,2400,2400,2000,2100,2300
"Woodbridge","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1962,1935,1870,1865,1831,1832.5,1835,1893,1895,1897.5,1885,1847,1755,1740,1925,1930,1955,1937.5,1965,2081
"West Town","Chicago","IL","Chicago","Cook",214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080,2120,1950,2125,2070,2095,2102.5,2050,2100,2110,2000,2000,1960,1950,2000,2000,2040,2002.5,2055,2055,2055,2155,2055,1800,2055,2037,2055,2050,1992.5,2050,2165,2105,2062,2095,2040,1920,1995,1935,2195
"University District","Seattle","WA","Seattle","King",215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,1500,1500,1431.5,1429,1450,1577.5,1652.5,1520,1500,1497.5,1623.5,1650,1699,1765,1549.5,1512
"Allston","Boston","MA","Boston","Suffolk",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2197,2100,1995,1950,2000,2100,2100,2150,2349.5,2637.5,2700,2600,2450,2399,2200,2250
"Ponderosa","Sunnyvale","CA","San Jose","Santa Clara",217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134,2125,2200,2319,2309,2384.5,2400,2329,2302,2320,2365,2512,2526,2505,2410.5,2528,2586,2694,2713,2563,2524,2625,2619,2720,2667.5,2695,2650,2696.5,2706
"Clinton Hill","New York","NY","New York","Kings",218,,,,,,,,,,,,,,,,,,2800,2612.5,2300,2300,2400,2387.5,2647.5,2647.5,2597.5,2275,2400,2345,2500,2650,2600,2700,2800,2750,2787.5,2600,2500,2600,2600,2650,2600,2600,2600,2800,2800,2700,2800,2775,2700,2600,2675,2700,2750,2757.5,2850,2850,2700,2700,2795,2850,2850,2799,2700,2850,3000,3000,2800,2750,2850
"Valley Village","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077.5,2144,2200,2328,2335,2100,2210,2287.5,2200,1965,1975,2100,2195,2340,2110,2137.5,1950,1985
"South Tacoma","Tacoma","WA","Seattle","Pierce",220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,832.5,825,800,850,895,895,895,895,910,895,862.5,850,850,865,850,922.5,962.5,950,947,947,947,947,923,962.5,960,970,975,975,995,960,937.5,965,922,957.5,950,924.5,977,975,998
"Flamingo Lummus","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1650,1907,1789,1959,1989,1800,1800,1800,1850,1900,1850,1900,2000,2100,1989,1989,1900,1850,1750,1769.5,1800,1825,1800,1825,1800,1700,1750,1769,1800,1750,1835,1850,1900,2000,2000,1852.5,1803,1800,1848
"Edgewater Beach","Chicago","IL","Chicago","Cook",222,,,,,,,,,,,,,,,825,795,810,800,825,835,895,830,845,880,897.5,885,850,857.5,850,898.5,907.5,895,900,895,900,937.5,950,945,950,962.5,995,995,1005,1025,995,975,975,997.5,995,995,995,975,977.5,950,955,975,955,995,990,955,975,950,950,950,965,995,1025,1000,1025,1025
"Great Neck","Virginia Beach","VA","Virginia Beach","Virginia Beach City",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1046,1074,1068,999,997,915,942,899,899,995,1015,1020,1007,999,994.5
"Fenway","Boston","MA","Boston","Suffolk",224,,,,,,1800,1800,1837.5,1850,1885,1915,1950,2150,2055,2060,2175,1912.5,1850,1800,1895,1900,1995,2105,2180,2165,1995,1987.5,2195,2100,2100,2195,2150,2100,2200,2200,2200,2200,2100,2250,2275,2485,2500,2485,2495,2400,2400,2400,2400,2350,2345,2385,2415,2500,2500,2470,2475,2500,2475,2495,2495,2400,2387.5,2400,2400,2600,2700,2600,2507.5,2507.5,2500
"Pico-Robertson","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.5,1950,2150,2025,2095,2100,2100,1957.5,2300,2122.5,2195,2197.5,2225,2350,2275,2250,2047.5,2300,2350,2272.5,2250,2422.5,2250,2300,2422.5,2500,2399.5,2395,2399.5,2395,2390,2300,2295,2300
"South","Pasadena","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904.5,1932,2100,2139,2180.5,2188,2099.5,2074,2106.5,2136.5,2152,2192,2185,2177.5,2105,2196,2215,2164,2144,2134.5,2102,2091,2213,2253,2291,2134,2141,2250
"West Village","New York","NY","New York","New York",227,,,,,,2995,2895,2895,3200,3235,3118,3192.5,3197.5,3295,3495,3495,3270,3295,3495,3495,3497.5,3495,3495,3257.5,3500,3500,3500,3395,3400,3350,3300,3210,3250,3495,3500,3495,3500,3500,3600,3682.5,3695,3675,3600,3600,3662,3750,3500,3500,3495,3500,3515,3520,3595,3600,3600,3800,3685,3700,3750,3750,3710,3755,3697.5,3725,3650,3695,3672.5,3500,3800,3695
"Kew Gardens","New York","NY","New York","Queens",228,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1550,1550,1550,1525,1550,1525,1550,1600,1650,1650,1650,1600,1650,1650,1650,1650,1650,1650,1650,1650,1695,1650,1700,1650,1692.5,1700,1700,1700,1750,1800,1800,1800,1950,1850,1800,1800,1800,1800,1825,1840,1800,1800,1800
"Brickell","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",229,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2650,2525,2361,2500,2525,2599.5,2600,2490,2400,2400,2400,2480,2450,2500,2500,2600,2475,2500,2500,2544,2550,2400,2400,2400,2500,2489,2500,2500,2450,2450,2400,2439,2499,2400,2400,2450,2450,2450,2400,2400,2450
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,1575,1575,1500,1575,1575,1500,1500,1500,1320,1500,1650,1695,1650,1650,1695,1650,1650,1650,1575,1650,1775,1800,1800,1575,1650,1800,1800,1650,1675,1712.5
"West Park","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2035,2045,2015,2025,2035,2075,2092.5,2135,2135,2130,2095,2090,2120,2110,2100,2085,2075,2085,2095,2075,2100,2110,2140,2125,2135,2170,2202.5,2235,2225,2277.5,2240
"Potomac West","Alexandria","VA","Washington","Alexandria City",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892.5,1800,1881,1800,1800,1804.5,1785,1749,1799,1800,1805,1815,1802.5,1899,1890,1810,1800,1615,1463,1474.5,1421,1513.5,1575,1474,1585
"Brooklyn Heights","New York","NY","New York","New York",233,,,,,,,,,,,,2502,2670,2800,2936,2750,2750,2765,2650,2372.5,2550,2550,2500,2600,2900,2961,2836,2850,2875,2988.5,2934,2900,2750,3006,3200,3100,3200,3195,3374.5,3150,2750,2700,2700,2700,2850,2800,2950,2995,3085,3075,2800,2850,3000,3100,2900,3000,3095,3000,2962.5,3000,3199,3195,3200,3200,3200,3200,3000,2925,2995,2995
"Seminary Hill","Alexandria","VA","Washington","Alexandria City",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,1495,1500,1515,1530,1577.5,1560,1505,1540,1587,1600,1529,1484,1450,1505,1600,1620,1605,1605,1652.5,1655,1715,1640,1582.5,1620,1625,1600,1600,1600,1757.5
"Back Bay","Boston","MA","Boston","Suffolk",235,,,,,,,,,,,,,2800,2900,3000,2875,2500,2500,2300,2100,2225,2450,2500,2487.5,2900,2850,3000,3153.5,2692.5,2622.5,2500,2500,2750,2800,3000,3105,3200,3100,3000,3000,2915,2900,2805,2795,2750,2700,2800,2700,2950,2950,3000,2675,2700,2800,2600,2675,2600,2650,2622.5,2600,2635,2650,2700,2650,2652.5,2700,2650,2600,2600,2550
"Weequahic","Newark","NJ","New York","Essex",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,1100,1062.5,1000,1000,995,935,900,950,1000,1095,1100,1035,1042.5,950
"East Central","Salt Lake City","UT","Salt Lake City","Salt Lake",237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,750,755,750,750,739,709,750,747.5,765,706.5,750,775,800,800,802,797,825,800,812.5,825,860,937.5,925,825,825,835,895,855,903,875,880,800
"Near North","Chicago","IL","Chicago","Cook",238,,,,,1600,1575,1456,1517,1525,1595,1652,1684,1704,1727.5,1795,1840,1776,1754,1757.5,1927.5,1880,1885,1885,1925,1923,1865,1900,1860,1907,1872,1860,1998,2050,2058,2080,2036,1913,1900,1900,1939,1959.5,2044,2045,2090,2098,2198,2250,2198,2203,2200,2210,2173,2000,2222,2097.5,2165,2192,2250,2250,2205,2317,2403,2424.5,2290.5,2236,2281,2127.5,2181.5,2107.5,2260
"Columbus Circle","New York","NY","New York","New York",239,,,,,,,,,,,,,,,,,,3097.5,3092.5,3100,3200,3150,3070,3129.5,3190,3200,3200,3200,3195,3186.5,3165,3165,3200,3350,3300,3300,3300,3300,3275,3250,3290,3209,3258,3295,3350,3495,3498,3470,3400,3365,3356.5,3480,3495,3495,3495,3595,3500,3550,3505,3495,3502.5,3495,3400,3361,3263.5,3450,3361,3361,3395,3350
"Braeswood Place","Houston","TX","Houston","Harris",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443,1492,1520.5,1447,1514.5,1554,1554,1502,1513,1572,1352,1345,1305,1369,1379,1404,1430,1475,1429,1402.5,1340,1367,1392,1369.5,1419,1379.5,1489,1584.5,1437,1450
"Uptown","Chicago","IL","Chicago","Cook",241,,,,,,,,,,,,,,,,1195,1200,1150,1120,1062.5,1075,1035,1125,1175,1150,1195,1195,1180,1180,1175,1200,1175,1145,1160,1175,1220,1255,1249,1225,1195,1240,1235,1225,1225,1225,1220,1250,1262.5,1195,1325,1400,1250,1250,1262.5,1250,1325,1300,1395,1395,1350,1300,1350,1350,1400,1395,1395,1400,1395,1452.5,1455
"Sutton Place","New York","NY","New York","New York",241,,,,,,,,,,,,,,,,3200,3300,3250,3200,2950,3095,3000,3000,2997.5,3200,3300,3400,3300,3297.5,3300,3395,3395,3395,3400,3400,3300,3300,3395,3300,3400,3400,3450,3500,3450,3495,3600,3425,3400,3365,3450,3450,3450,3400,3450,3500,3600,3325,3500,3350,3397.5,3450,3300,3250,3350,3350,3295,3400,3450,3472.5,3397.5
"Greenway - Upper Kirby Area","Houston","TX","Houston","Harris",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471.5,1584,1602.5,1587.5,1569,1517.5,1555,1563,1545,1540,1756.5,1725,1672.5,1719,1758,1758,1738,1752,1666,1700,1663.5,1661,1710,1700,1701.5,1684.5,1734,1704.5,1685,1720,1685,1685,1580,1557,1615,1630.5,1652.5,1586,1586.5,1631
"Lower Peters Canyon","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1980,1995,1945,1960,1975,1970,1955,1945,1925,1885,1925,1945,1970,1970,1995,2027.5,2020,2050,2100,2100
"Castle Hill","New York","NY","New York","Bronx",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1650,1600,1600,1600,1600,1600,1550,1450,1532.5,1550,1600,1600,1500,1500,1600,1675,1675,1695,1550,1600,1650,1695,1550,1575,1625,1550,1600,1600,1600,1550,1575,1537.5
"West Central","Pasadena","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.5,1495,1595,1672.5,1775,1700,1750,1995,1820,1905,1995,1995,2050,1944.5,1855,1845,1800,1930,2139,2062,2214,2087,2188,2398,2255,2231,2095,2137.5,2353,2390,2327.5,2220,2260
"North San Jose","San Jose","CA","San Jose","Santa Clara",247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463.5,2499,2675.5,2727.5,2660,2585,2596,2715,2690,2685,2740,2725,2730,2795,2828,2875,2905,2865,2909,2808.5,2825,2820,2835,2860,2822.5,2800,2797.5,2682.5
"Chatham","Chicago","IL","Chicago","Cook",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,800,812.5,800,780,800,825,900,850,850,850,762.5
"Belmont","New York","NY","New York","Bronx",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.5,1400,1400,1400,1350,1300,1400,1340,1275,1250,1250,1250,1250,1250,1350,1350,1300,1350,1399,1450,1350,1395,1450,1450,1500,1500,1600,1600,1600,1650,1500,1500,1500,1600,1600,1500,1550,1450,1550
"Wingate","New York","NY","New York","Kings",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099,1950,2099,1850,1800,1775,1772.5,1750,1750,1800,1995,1950,1875,1900,1900,1900,1850,1850,1847.5,1750,1800,2000,2295,2100,2000,2200,2262.5,2249,2100,1975,1975,1987,2037.5,2123,2087.5,2000
"Downtown","San Francisco","CA","San Francisco","San Francisco",251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907.5,2975,3300,2915,2900,3035,2865,2850,2887.5,3005,3122.5,3205,2897,2920,2995,2670,2628,2730,2730,2785,2895,2915,2995,2980,2850,3017.5,3156.5,2915,2600,3010,2907.5,2982.5
"Bucktown","Chicago","IL","Chicago","Cook",252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1750,1762.5,1800,1825,1800,1885,1900,1995,1900,1900,1900,1995,2000
"Gowanus","New York","NY","New York","Kings",253,,,,,,,,,,,,,,,,,,,,,,,,2350,2450,2400,2297.5,2700,2600,2850,2875,2800,2800,3000,3000,2900,2925,2900,2750,2800,2900,2697.5,2800,2900,3200,3000,2900,2798,2799.5,2700,2850,2800,2700,2750,2800,2800,2800,3000,3100,3200,3100,3200,3200,3200,3100,3000,2800,3000,3000,3100
"Pacific Heights","San Francisco","CA","San Francisco","San Francisco",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3295,3550,4000,4000,3575,4000,4200,4000,4000,3972.5,4150,4175,4200,4475,4575,4500,4372.5,4750,4095,4000,4197.5,4095,4000,4195,4095,4065,3997.5,4097.5
"Streeterville","Chicago","IL","Chicago","Cook",255,,,,,1347.5,1465,1513,1542,1545,1627,1700,1699,1712,1653.5,1722.5,1735,1727.5,1782.5,1695,1867,1980,1980,1915,1753.5,1883,1850,1800.5,1825,1815,1895.5,1883,1991.5,2000,2075,2075,1940,1900,1906,1800,1887,1950,1965,2090,2062.5,2082.5,2100,2226,2212,2135,2200,2259,2205,2168,2396,2371,2262,2299,2266,2233,2192.5,2321,2361,2550,2472.5,2489.5,2490.5,2326,2325,2392,2352
"Prospect Heights","New York","NY","New York","Kings",256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2600,2600,2550,2500,2500,2500,2500,2500,2500,2700,2650,2824.5,2800,2850,2700,2695,2695,2850,2650,2600,2678,2950,2850,2872.5,2950,2800,2796,2750,2700,2599,2600,2850,2995,2850,2950
"South of Market","San Francisco","CA","San Francisco","San Francisco",257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,3360,3250,3250,3380.5,3491,3524,3556.5,3609.5,3520,3535,3580,3717.5,3695,3845,4000,3775,3862.5,3946,3886,3905,3950,4037.5,4027.5,3908,3820,3720,3720,3647.5,3862.5,3940,3882.5,3777.5,3800,3830
"Downtown","Stamford","CT","Stamford","Fairfield",258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2102.5,2155,2095.5,2150,2470,2210,2205,2227.5,2212.5,2220,2230,2352,2375,2380,2365,2320,2315,2383,2312.5,2312.5,2450,2249,2249.5,2267.5,2250,2270,2275
"Turtle Bay","New York","NY","New York","New York",259,,,,,,,,,,,2800,2800,2800,2850,3172.5,3000,3000,2995,2950,2895,2950,3000,3000,3000,3000,3000,2995,2950,2900,2950,2900,2900,2900,3000,3000,3100,3100,3150,3000,3000,3000,3100,3115,3199,3200,3300,3200,3200,3150,3100,3200,3200,3295,3400,3500,3672.5,3400,3450,3362.5,3420,3350,3297.5,3350,3400,3400,3432.5,3400,3350,3295,3300
"Avondale","Chicago","IL","Chicago","Cook",260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747.5,1612.5,1450,1475,1250,1175,1300,1512.5,1475,1400,1400,1400,1400,1400,1400,1400,1525,1597.5,1525,1647.5
"New Utrecht","New York","NY","New York","Kings",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1450,1400,1400,1400,1475,1450,1500,1600,1500,1500,1600,1500,1500,1500,1487.5,1500,1475,1450,1500,1750,1650,1500,1700,1725,1750,1625,1650,1600,1700,1700,1700,1712.5,1950
