"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Flatlands","New York","NY","New York","Kings",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1500,1500,1425,1400,1450,1497.5,1500,1672.5,1550,1625,1700,1625,1600,1600,1695,1700,1750,1675,1675,1900,1875,1800,1925,1900,1815,1815,1850,1825,1850,1800,1875,2000
"Ozone Park","New York","NY","New York","Queens",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1500,1500,1550,1550,1600,1500,1600,1600,1599.5,1600,1600,1600,1600,1600,1600,1600,1700,1695,1700,1625,1695,1800,1650,1600,1750,1700,1800,1800,1800,1850,1700,1800,1700,1999,1900,1700,1800,1750
"Park Slope","New York","NY","New York","Kings",77,,,,,,1800,2000,2125,2300,2250,2300,2399,2400,2400,2450,2500,2600,2550,2575,2700,2562.5,2600,2773,2773,2700,2700,2775,2700,2650,2700,2675,2600,2675,2800,2875,2800,2700,2700,2700,2695,2650,2650,2600,2600,2800,2800,2750,2800,2900,2900,2700,2700,2750,2800,2800,2800,2900,3000,2999,2999,2900,2900,2900,2900,2800,2700,2695,2700,2700,2800
"Mission","San Francisco","CA","San Francisco","San Francisco",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4400,4200,3700,4095,4073.5,3995,4285,4225,3995,4233,4000
"Albany Park","Chicago","IL","Chicago","Cook",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1225,1200,1225,1262.5,1250,1200,1100,1050,1100,1200,1275,1250,1200,1200,1295,1250,1195,1200,1250,1250,1300,1375,1300,1300,1375,1375,1375,1375,1395,1329,1350,1370
"Central Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,625,709,675,600,617.5,610,567.5,599,565,595,595,599,600,650,612,640,645,625,657,675,650,625,620,650,650,675,675,700,700,700,700,735,750,750,720,800,775,733,725
"Gramercy","New York","NY","New York","New York",81,,,,,3300,2850,2800,2800,2895,2900,2950,2975,2950,2995,3000,2995,3000,3000,2976,2995,3150,3150,3200,3200,3200,3200,3195,3099,3095,3100,3100,3195,3200,3200,3225,3200,3250,3205.5,3200,3200,3200,3235,3291,3295,3346,3395,3495,3450,3400,3395,3430,3483,3395,3400,3395,3384,3350,3300,3350,3350,3400,3355,3350,3300,3300,3300,3300,3300,3436,3500
"Brownsville","New York","NY","New York","Kings",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522.5,1547.5,1575,1500,1500,1500,1500,1500,1500,1450,1374.5,1350,1400,1400,1375,1500,1500,1500,1500,1500,1450,1450,1500,1500,1500,1600,1650,1700,1700,1600,1500,1599,1650,1772.5,1800,1650,1600,1650,1850,1862.5
"Archer Heights","Chicago","IL","Chicago","Cook",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1075,1100,1100,1100,1100,1100,1200,1150,1100,1100,1000,1025,1085,1095,1045,1000,1000,1045,1001,950,1050,1100,1100,1100,1150,1100,1100,1050,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1100,1200
"Richmond Hill","New York","NY","New York","Queens",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1425,1450,1500,1450,1450,1450,1450,1500,1495,1450,1450,1450,1450,1425,1400,1425,1486,1400,1475,1475,1450,1450,1475,1487.5,1550,1600,1700,1712.5,1637.5,1575,1500,1500,1537.5,1650,1550,1600,1800,1800
